	molregno	assay_chembl_id	description	assay_organism	assay_tissue	assay_cell_type	standard_relation	published_value	published_units	standard_value	standard_units	standard_type	activity_comment	published_type	data_validity_comment	published_relation	pchembl_value	standard_inchi	canonical_smiles
3759	1360070	CHEMBL2072927	Inhibition of human ERG channel expressed in CHO cells by patch clamp assay	Homo sapiens		CHO	=	11.6	uM	11600	nM	IC50		IC50		=	4.94	InChI=1S/C18H15ClN6O2/c1-11(15-21-17(27-24-15)13-4-3-5-14(19)10-13)26-18-23-22-16(25(18)2)12-6-8-20-9-7-12/h3-11H,1-2H3/t11-/m1/s1	C[C@@H](Oc1nnc(c2ccncc2)n1C)c3noc(n3)c4cccc(Cl)c4
6391	1587951	CHEMBL3615686	Inhibition of human ERG expressed in HEK293 cells by electrophysiology assay	Homo sapiens			=	4.5	uM	4500	nM	IC50		IC50		=	5.35	InChI=1S/C23H24N6O3/c30-22(14-17-1-4-20(5-2-17)29-16-24-25-26-29)28-11-9-27(10-12-28)8-7-18-3-6-21-19(13-18)15-32-23(21)31/h1-6,13,16H,7-12,14-15H2	O=C(Cc1ccc(cc1)n2cnnn2)N3CCN(CCc4ccc5C(=O)OCc5c4)CC3
5744	1070591	CHEMBL3413194	Inhibition of human ERG	Homo sapiens			>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C11H13Cl2N3O/c12-8-5-15-6-9(13)10(8)16-3-1-7(2-4-16)11(14)17/h5-7H,1-4H2,(H2,14,17)	NC(=O)C1CCN(CC1)c2c(Cl)cncc2Cl
6269	1958054	CHEMBL3607541	Inhibition of human ERG assessed as reduction in MK499 competitive binding	Homo sapiens			=	9.2	uM	9200	nM	IC50		IC50		=	5.04	InChI=1S/C29H31F3N6O5/c30-19-14-34-20-2-4-23(41-12-11-29(31,32)26(33)40)38-24(20)18(19)5-6-28-9-7-27(8-10-28,16-43-28)35-13-17-1-3-21-25(36-17)37-22(39)15-42-21/h1-4,14,35H,5-13,15-16H2,(H2,33,40)(H,36,37,39)	NC(=O)C(F)(F)CCOc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1
4968	1608373	CHEMBL3096732	Displacement of [3H]astemizole from human ERG channel expressed in HEK293 cell membrane after 1 hr by scintillation counting analysis	Homo sapiens			=	970	nM	970	nM	IC50		IC50		=	6.01	InChI=1S/C26H35NO/c1-3-5-6-7-14-21-27(4-2)22-15-16-23-28-26(24-17-10-8-11-18-24)25-19-12-9-13-20-25/h8-13,17-20,26H,3-7,14,21-23H2,1-2H3	CCCCCCCN(CC)CC#CCOC(c1ccccc1)c2ccccc2
6070	1948385	CHEMBL3583383	Inhibition of MK499 binding to human ERG	Homo sapiens			=	9.6	uM	9600	nM	IC50		IC50		=	5.02	InChI=1S/C27H24FN9O/c1-3-23-34-26(36-38-23)27(15-11-31-37(2)14-15)24-18(17-6-4-5-7-19(17)32-24)10-21(35-27)25-30-13-22(33-25)20-9-8-16(28)12-29-20/h4-9,11-14,21,32,35H,3,10H2,1-2H3,(H,30,33)/t21-,27-/m1/s1	CCc1onc(n1)[C@@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cn6)c7cnn(C)c7
5492	1823430	CHEMBL3385491	Inhibition of human ERG channel by patch-clamp assay	Homo sapiens								IC50	Not Determined	IC50				InChI=1S/C21H23N5O2/c1-2-26-19-16(13-23-26)10-21(11-18(19)27)5-7-25(8-6-21)20(28)14-3-4-17-15(9-14)12-22-24-17/h3-4,9,12-13H,2,5-8,10-11H2,1H3,(H,22,24)	CCn1ncc2CC3(CCN(CC3)C(=O)c4ccc5[nH]ncc5c4)CC(=O)c12
1456	570962	CHEMBL1050164	Inhibition of human ERG	Homo sapiens			>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C23H24FN9O/c1-23(21(34)26-15-7-8-18(24)25-13-15)9-3-10-32(23)22-28-20(17-4-2-11-33(17)31-22)27-19-12-16(29-30-19)14-5-6-14/h2,4,7-8,11-14H,3,5-6,9-10H2,1H3,(H,26,34)(H2,27,28,29,30,31)/t23-/m0/s1	C[C@]1(CCCN1c2nc(Nc3cc([nH]n3)C4CC4)c5cccn5n2)C(=O)Nc6ccc(F)nc6
1287	558930	CHEMBL1053229	Displacement of [35S]MK499 from human ERG potassium channel expressed in HEK293 cells	Homo sapiens		HEK293	>	10000	nM	10000	nM	IC50		IC50		>		InChI=1S/C33H43N3O2S/c1-22(24-11-14-28(38-5)15-12-24)34-27-13-16-29(32(3,4)21-27)30(37)25-17-19-33(20-18-25,26-9-7-6-8-10-26)31-36-35-23(2)39-31/h6-12,14-15,22,25,27,29,34H,13,16-21H2,1-5H3/t22-,25?,27-,29+,33?/m1/s1	COc1ccc(cc1)[C@@H](C)N[C@@H]2CC[C@@H](C(=O)C3CCC(CC3)(c4ccccc4)c5nnc(C)s5)C(C)(C)C2
3969	1427470	CHEMBL2168489	Binding affinity to human ERG expressed in CHOK1 cells by IonWorks HT assay	Homo sapiens		CHO-K1	=	5.3	uM	5300	nM	IC50		IC50		=	5.28	InChI=1S/C24H19F4N3O3/c25-16-7-8-17(29-14-16)11-12-31-21(19-3-1-2-4-20(19)23(31)33)22(32)30-13-15-5-9-18(10-6-15)34-24(26,27)28/h1-10,14,21H,11-13H2,(H,30,32)	Fc1ccc(CCN2C(C(=O)NCc3ccc(OC(F)(F)F)cc3)c4ccccc4C2=O)nc1
3147	1278008	CHEMBL1947877	Inhibition of human ERG	Homo sapiens			=	16	uM	16000	nM	IC50		IC50		=	4.80	InChI=1S/C26H30N4OS/c1-3-30(4-2)26(31)22-10-8-20(9-11-22)25(24-7-5-6-14-27-24)21-12-15-29(16-13-21)17-23-18-32-19-28-23/h5-11,14,18-19H,3-4,12-13,15-17H2,1-2H3	CCN(CC)C(=O)c1ccc(cc1)C(=C2CCN(Cc3cscn3)CC2)c4ccccn4
217	363078	CHEMBL856405	activity against the human ether-a-go-go-related gene (hERG)-encoded potassium channel was determined using conventional or automated whole-cell electrophysiology	Homo sapiens			>	30	uM	30000	nM	IC50		IC50		>		InChI=1S/C28H33F2N7O4/c1-3-8-37(10-11-38)9-5-12-41-24-16-22-19(15-23(24)40-2)28(32-17-31-22)34-25-13-18(35-36-25)14-26(39)33-21-7-4-6-20(29)27(21)30/h4,6-7,13,15-17,38H,3,5,8-12,14H2,1-2H3,(H,33,39)(H2,31,32,34,35,36)	CCCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)c2cc1OC
3502	1344070	CHEMBL2033832	Inhibition of human Erg expressed in HEK293 cells by whole cell patch clamp analysis	Homo sapiens		HEK293	=	0.11	uM	110	nM	IC50		IC50		=	6.96	InChI=1S/C39H54F2N2O/c1-38(2,3)35-23-29(24-36(37(35)44-7)39(4,5)6)27-43-22-20-28(26-43)25-42-21-10-8-9-11-34(30-12-16-32(40)17-13-30)31-14-18-33(41)19-15-31/h12-19,23-24,28,34,42H,8-11,20-22,25-27H2,1-7H3	COc1c(cc(CN2CCC(CNCCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)C2)cc1C(C)(C)C)C(C)(C)C
218	363082	CHEMBL856405	activity against the human ether-a-go-go-related gene (hERG)-encoded potassium channel was determined using conventional or automated whole-cell electrophysiology	Homo sapiens			>	30	uM	30000	nM	IC50		IC50		>		InChI=1S/C27H29F2N7O3/c28-21-5-1-6-22(26(21)29)32-25(38)13-17-12-24(35-34-17)33-27-20-8-7-19(14-23(20)30-16-31-27)39-11-3-10-36-9-2-4-18(36)15-37/h1,5-8,12,14,16,18,37H,2-4,9-11,13,15H2,(H,32,38)(H2,30,31,33,34,35)/t18-/m1/s1	OC[C@H]1CCCN1CCCOc2ccc3c(Nc4cc(CC(=O)Nc5cccc(F)c5F)[nH]n4)ncnc3c2
6425	1732580	CHEMBL3631371	Inhibition of human ERG potassium channel by ionworks patch-clamp electrophysiology assay	Homo sapiens			=	0.9	uM	900	nM	IC50		IC50		=	6.05	InChI=1S/C20H17N3O4S2/c1-28(24,25)16-8-6-14(7-9-16)19-13-21-20-11-10-18(22-23(19)20)15-4-3-5-17(12-15)29(2,26)27/h3-13H,1-2H3	CS(=O)(=O)c1ccc(cc1)c2cnc3ccc(nn23)c4cccc(c4)S(=O)(=O)C
6316	1959539	CHEMBL3610078	Inhibition of human ERG	Homo sapiens			=	1.6	uM	1600	nM	IC50		IC50		=	5.80	InChI=1S/C18H19FN6O2/c1-10(2)14-20-17(27-23-14)16-22-21-15-11(3)24(8-9-25(15)16)18(26)12-4-6-13(19)7-5-12/h4-7,10-11H,8-9H2,1-3H3/t11-/m1/s1	CC(C)c1noc(n1)c2nnc3[C@@H](C)N(CCn23)C(=O)c4ccc(F)cc4
5453	1344028	CHEMBL3381617	Inhibition of human ERG expressed in CHO cells by Rb efflux assay	Homo sapiens			=	3.4	uM	3400	nM	IC50		IC50		=	5.47	InChI=1S/C32H40F2N2O3/c1-37-30-21-24(22-31(38-2)32(30)39-3)23-36-19-17-35(18-20-36)16-6-4-5-7-29(25-8-12-27(33)13-9-25)26-10-14-28(34)15-11-26/h8-15,21-22,29H,4-7,16-20,23H2,1-3H3	COc1cc(CN2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2)cc(OC)c1OC
4674	1563400	CHEMBL2390363	Inhibition of human ERG channel expressed in HEK293 cells by patch clamp assay	Homo sapiens		HEK293	>	100	uM	100000	nM	IC50		IC50		>		InChI=1S/C17H20F3N5O/c1-9(26)16-24-13-7-22-15-12(4-5-21-15)14(13)25(16)11-3-2-10(6-11)23-8-17(18,19)20/h4-5,7,9-11,23,26H,2-3,6,8H2,1H3,(H,21,22)/t9-,10-,11+/m1/s1	C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]4CC[C@H](C4)NCC(F)(F)F
1840	630272	CHEMBL1119996	Binding affinity to human ERG	Homo sapiens			>	30	uM	30000	nM	IC50		IC50		>		InChI=1S/C19H15Cl2N3O/c1-9-6-13-12-4-2-11(21)8-16(12)22-17(13)19(24-9)14-7-10(20)3-5-15(14)23-18(19)25/h2-5,7-9,22,24H,6H2,1H3,(H,23,25)/t9-,19+/m0/s1	C[C@H]1Cc2c([nH]c3cc(Cl)ccc23)[C@@]4(N1)C(=O)Nc5ccc(Cl)cc45
2775	631569	CHEMBL1827362	Displacement of [3H]dofetilide from human recombinant ERG by Competitive binding assay	Homo sapiens			=	1600	nM	1600	nM	IC50		IC50		=	5.80	InChI=1S/C26H26ClN3O/c1-17-4-3-14-30(17)15-13-19-5-11-23-21(16-19)8-12-24(28-23)25-18(2)31-29-26(25)20-6-9-22(27)10-7-20/h5-12,16-17H,3-4,13-15H2,1-2H3/t17-/m1/s1	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)onc4c5ccc(Cl)cc5
5079	1621597	CHEMBL3129034	Inhibition of human ERG by patch clamp electrophysiology	Homo sapiens								IC50	Not Determined	IC50				InChI=1S/C17H13F3N4OS/c1-26(25)12-5-2-10(3-6-12)13-9-23-16(21)15(24-13)11-4-7-14(22-8-11)17(18,19)20/h2-9H,1H3,(H2,21,23)	C[S+]([O-])c1ccc(cc1)c2cnc(N)c(n2)c3ccc(nc3)C(F)(F)F
3781	1420248	CHEMBL2148626	Displacement of [35S]MK499 from human ERG	Homo sapiens			=	0.005	uM	5	nM	IC50		IC50		=	8.30	InChI=1S/C20H24N4O4/c25-23(26)19-5-1-17(2-6-19)9-11-21-13-15-22(16-14-21)12-10-18-3-7-20(8-4-18)24(27)28/h1-8H,9-16H2	[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)[N+](=O)[O-])CC2)cc1
6980	2021162	CHEMBL3816322	Displacement of [35S]MK499 from human ERG	Homo sapiens			=	40	uM	40000	nM	IC50		IC50		=	4.40	InChI=1S/C21H21FN8O2/c1-27-16(31)11-30-19(32)17-18(25-20(27)30)26-21(28-6-2-3-15(24)10-28)29(17)9-13-7-14(22)5-4-12(13)8-23/h4-5,7,15H,2-3,6,9-11,24H2,1H3/t15-/m1/s1	CN1C(=O)CN2C(=O)c3c(N=C12)nc(N4CCC[C@@H](N)C4)n3Cc5cc(F)ccc5C#N
260	363255	CHEMBL854892	Inhibition of binding to hERG	Homo sapiens			=	2.6	uM	2600	nM	IC50		IC50		=	5.59	InChI=1S/C26H28ClN3O/c1-29(2)17-18-4-5-21-15-24(12-8-20(21)14-18)30(3)26(31)25-13-9-22(16-28-25)19-6-10-23(27)11-7-19/h4-7,9-11,13-14,16,24H,8,12,15,17H2,1-3H3/t24-/m0/s1	CN(C)Cc1ccc2C[C@H](CCc2c1)N(C)C(=O)c3ccc(cn3)c4ccc(Cl)cc4
2832	1704875	CHEMBL1827878	Displacement of [3H]astemizole from human ERG expressed in HEK293 cells	Homo sapiens		HEK293	=	8.11	uM	8110	nM	IC50		IC50		=	5.09	InChI=1S/C25H29Cl2N5O.4ClH/c1-18-24(29-19(2)32(18)20-8-4-3-5-9-20)25(33)28-12-7-13-30-14-16-31(17-15-30)22-11-6-10-21(26)23(22)27;;;;/h3-6,8-11H,7,12-17H2,1-2H3,(H,28,33);4*1H	Cl.Cl.Cl.Cl.Cc1nc(C(=O)NCCCN2CCN(CC2)c3cccc(Cl)c3Cl)c(C)n1c4ccccc4
3879	1424824	CHEMBL2160981	Displacement of [3H]astemizole from human ERG potassium channel	Homo sapiens			>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C27H34N6O3/c1-32(13-14-34)18-25(35)33-11-9-19(10-12-33)21-7-8-24(23(15-21)20-5-3-2-4-6-20)31-27(36)26-29-17-22(16-28)30-26/h5,7-8,15,17,19,34H,2-4,6,9-14,18H2,1H3,(H,29,30)(H,31,36)	CN(CCO)CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4
1692	621022	CHEMBL1115186	Inhibition of human ERG by patch clamp assay	Homo sapiens			=	0.52	uM	520	nM	IC50		IC50		=	6.28	InChI=1S/C19H23N3/c1-14-4-5-18-16(10-14)11-15(6-9-22(2)3)19(18)12-17-13-20-7-8-21-17/h4-5,7-8,10,13H,6,9,11-12H2,1-3H3	CN(C)CCC1=C(Cc2cnccn2)c3ccc(C)cc3C1
4932	1724494	CHEMBL3227119	Inhibition of dofetilide binding to human ERG	Homo sapiens			=	9670	nM	9670	nM	IC50		IC50		=	5.02	InChI=1S/C17H13Cl2FN2O4S/c18-12-2-4-16(14(19)5-12)27(24,25)22-8-17(23,9-22)10-26-13-3-1-11(7-21)15(20)6-13/h1-6,23H,8-10H2	OC1(COc2ccc(C#N)c(F)c2)CN(C1)S(=O)(=O)c3ccc(Cl)cc3Cl
5552	1785652	CHEMBL3378637	Inhibition of human ERG by MK-499 displacement binding analysis	Homo sapiens			=	19560	nM	19560	nM	IC50		IC50		=	4.71	InChI=1S/C30H24FN7O2/c1-38-16-19(14-34-38)30(26-12-18(29(39)40)10-11-32-26)27-22(21-4-2-3-5-23(21)35-27)13-24(37-30)28-33-15-25(36-28)17-6-8-20(31)9-7-17/h2-12,14-16,24,35,37H,13H2,1H3,(H,33,36)(H,39,40)/t24-,30+/m1/s1	Cn1cc(cn1)[C@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cc6)c7cc(ccn7)C(=O)O
2690	570906	CHEMBL1827362	Displacement of [3H]dofetilide from human recombinant ERG by Competitive binding assay	Homo sapiens			=	132857.1429	nM	132857.14	nM	IC50		IC50	Outside typical range	=		InChI=1S/C20H25N7S/c21-19-13-23-16(11-24-19)15-10-18-17(12-22-15)25-20(28-18)27-8-4-14(5-9-27)26-6-2-1-3-7-26/h10-14H,1-9H2,(H2,21,24)	Nc1cnc(cn1)c2cc3sc(nc3cn2)N4CCC(CC4)N5CCCCC5
426	414593	CHEMBL940929	Displacement of [3H]bufuralol from hERG channel expressed in HEK293 cells	Homo sapiens		HEK293	=	9.8	uM	9800	nM	IC50		IC50		=	5.01	InChI=1S/C22H25FN2O3/c23-18-3-1-2-17(13-18)22(28)8-10-25(11-9-22)14-20(26)16-4-6-19-15(12-16)5-7-21(27)24-19/h1-4,6,12-13,20,26,28H,5,7-11,14H2,(H,24,27)	OC(CN1CCC(O)(CC1)c2cccc(F)c2)c3ccc4NC(=O)CCc4c3
6821	2077853	CHEMBL3790041	Inhibition of human ERG	Homo sapiens			>	33	uM	33000	nM	IC50		IC50		>		InChI=1S/C22H24ClFN2O2/c1-22(2,15-8-10-16(23)11-9-15)14-26-19(20(27)25-13-5-12-24)17-6-3-4-7-18(17)21(26)28/h3-4,6-11,19H,5,12-14H2,1-2H3,(H,25,27)	CC(C)(CN1C(C(=O)NCCCF)c2ccccc2C1=O)c3ccc(Cl)cc3
1893	648107	CHEMBL1175788	Displacement of radiolabeled astemizole from human ERG	Homo sapiens			>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C22H24N4O2/c23-15-17-4-1-7-20(14-17)28-21-9-8-18(16-24-21)22(27)26-11-3-10-25(12-13-26)19-5-2-6-19/h1,4,7-9,14,16,19H,2-3,5-6,10-13H2	O=C(N1CCCN(CC1)C2CCC2)c3ccc(Oc4cccc(c4)C#N)nc3
