	molregno	assay_chembl_id	description	assay_organism	assay_tissue	assay_cell_type	standard_relation	published_value	published_units	standard_value	standard_units	standard_type	activity_comment	published_type	data_validity_comment	published_relation	pchembl_value	standard_inchi	canonical_smiles
38	81148	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	26000	nM	26000	nM	IC50		IC50		=	4.59	InChI=1S/C17H15ClFN/c1-2-3-12-11-20(15-7-5-14(19)6-8-15)17-9-4-13(18)10-16(12)17/h4-11H,2-3H2,1H3	CCCc1cn(c2ccc(F)cc2)c3ccc(Cl)cc13
39	80903	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	2200	nM	2200	nM	IC50		IC50		=	5.66	InChI=1S/C17H15ClFNO/c1-2-17(21)15-10-20(13-6-4-12(19)5-7-13)16-8-3-11(18)9-14(15)16/h3-10,17,21H,2H2,1H3	CCC(O)c1cn(c2ccc(F)cc2)c3ccc(Cl)cc13
40	81080	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	>	10000	nM	10000	nM	IC50		IC50		>		InChI=1S/C17H15ClFN/c1-11(2)16-10-20(14-6-4-13(19)5-7-14)17-8-3-12(18)9-15(16)17/h3-11H,1-2H3	CC(C)c1cn(c2ccc(F)cc2)c3ccc(Cl)cc13
41	81149	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	11	nM	11	nM	IC50		IC50		=	7.96	InChI=1S/C17H16ClFN2/c1-20(2)10-12-11-21(15-6-4-14(19)5-7-15)17-8-3-13(18)9-16(12)17/h3-9,11H,10H2,1-2H3	CN(C)Cc1cn(c2ccc(F)cc2)c3ccc(Cl)cc13
42	81714	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	1947	nM	1947	nM	IC50		IC50		=	5.71	InChI=1S/C17H13ClFNO/c1-2-17(21)15-10-20(13-6-4-12(19)5-7-13)16-8-3-11(18)9-14(15)16/h3-10H,2H2,1H3	CCC(=O)c1cn(c2ccc(F)cc2)c3ccc(Cl)cc13
43	81683	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	23000	nM	23000	nM	IC50		IC50		=	4.64	InChI=1S/C32H39NO4/c1-31(2,30(35)36)25-17-15-24(16-18-25)29(34)14-9-21-33-22-19-28(20-23-33)32(37,26-10-5-3-6-11-26)27-12-7-4-8-13-27/h3-8,10-13,15-18,28-29,34,37H,9,14,19-23H2,1-2H3,(H,35,36)	CC(C)(C(=O)O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
44	81741	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	4550	nM	4550	nM	IC50		IC50		=	5.34	InChI=1S/C16H13ClFNO/c1-10(20)15-9-19(13-5-3-12(18)4-6-13)16-7-2-11(17)8-14(15)16/h2-10,20H,1H3	CC(O)c1cn(c2ccc(F)cc2)c3ccc(Cl)cc13
45	3859	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	32	nM	32	nM	IC50		IC50		=	7.50	InChI=1S/C21H23ClFNO2/c22-18-7-5-17(6-8-18)21(26)11-14-24(15-12-21)13-1-2-20(25)16-3-9-19(23)10-4-16/h3-10,26H,1-2,11-15H2	OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3
46	10819	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	7	nM	7	nM	IC50		IC50		=	8.16	InChI=1S/C24H27FN4O/c25-19-5-7-20(8-6-19)29-17-22(21-3-1-2-4-23(21)29)18-9-12-27(13-10-18)15-16-28-14-11-26-24(28)30/h1-8,17-18H,9-16H2,(H,26,30)	Fc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5ccccc25
47	80902	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	3500	nM	3500	nM	IC50		IC50		=	5.46	InChI=1S/C16H13ClFN/c1-2-11-10-19(14-6-4-13(18)5-7-14)16-8-3-12(17)9-15(11)16/h3-10H,2H2,1H3	CCc1cn(c2ccc(F)cc2)c3ccc(Cl)cc13
48	81785	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	131	nM	131	nM	IC50		IC50		=	6.88	InChI=1S/C27H31ClN4O3/c1-35-26(33)16-19-2-5-22(6-3-19)32-18-24(23-17-21(28)4-7-25(23)32)20-8-11-30(12-9-20)14-15-31-13-10-29-27(31)34/h2-7,17-18,20H,8-16H2,1H3,(H,29,34)	COC(=O)Cc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25
49	81657	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	34	nM	34	nM	IC50		IC50		=	7.47	InChI=1S/C25H29N3O4S/c1-33(30,31)27-20-5-7-24-22(14-20)23(29)15-25(32-24)8-10-28(11-9-25)21-6-4-18-12-17(16-26)2-3-19(18)13-21/h2-3,5,7,12,14,21,23,27,29H,4,6,8-11,13,15H2,1H3	CS(=O)(=O)Nc1ccc2OC3(CCN(CC3)C4CCc5cc(ccc5C4)C#N)CC(O)c2c1
50	80423	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	460	nM	460	nM	IC50		IC50		=	6.34	InChI=1S/C31H39NO3/c1-30(2,34)25-17-15-24(16-18-25)29(33)14-9-21-32-22-19-28(20-23-32)31(35,26-10-5-3-6-11-26)27-12-7-4-8-13-27/h3-8,10-13,15-18,28-29,33-35H,9,14,19-23H2,1-2H3	CC(C)(O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
51	80869	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	36	nM	36	nM	IC50		IC50		=	7.44	InChI=1S/C26H29ClN4O3/c1-34-25(32)19-2-5-21(6-3-19)31-17-23(22-16-20(27)4-7-24(22)31)18-8-11-29(12-9-18)14-15-30-13-10-28-26(30)33/h2-7,16-18H,8-15H2,1H3,(H,28,33)	COC(=O)c1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25
52	10859	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	204	nM	204	nM	IC50		IC50		=	6.69	InChI=1S/C19H18ClFN2/c20-14-1-6-19-17(11-14)18(13-7-9-22-10-8-13)12-23(19)16-4-2-15(21)3-5-16/h1-6,11-13,22H,7-10H2	Fc1ccc(cc1)n2cc(C3CCNCC3)c4cc(Cl)ccc24
53	10813	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	3	nM	3	nM	IC50		IC50		=	8.52	InChI=1S/C24H26ClFN4O/c25-18-1-6-23-21(15-18)22(16-30(23)20-4-2-19(26)3-5-20)17-7-10-28(11-8-17)13-14-29-12-9-27-24(29)31/h1-6,15-17H,7-14H2,(H,27,31)	Fc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25
54	364141	CHEMBL766816	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	Homo sapiens		CHO	=	18	nM	18	nM	IC50		IC50		=	7.75	InChI=1S/C28H29F2N3O/c29-22-11-7-20(8-12-22)25(21-9-13-23(30)14-10-21)4-3-17-32-18-15-24(16-19-32)33-27-6-2-1-5-26(27)31-28(33)34/h1-2,5-14,24-25H,3-4,15-19H2,(H,31,34)	Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5
55	557741	CHEMBL768686	Inhibitory activity against Potassium channel HERG	Homo sapiens			=	47	nM	47	nM	IC50		IC50		=	7.33	InChI=1S/C23H29ClFN3O4/c1-30-21-13-19(26)18(24)12-17(21)23(29)27-20-8-10-28(14-22(20)31-2)9-3-11-32-16-6-4-15(25)5-7-16/h4-7,12-13,20,22H,3,8-11,14,26H2,1-2H3,(H,27,29)	COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC
