	molregno	assay_chembl_id	description	assay_organism	assay_tissue	assay_cell_type	standard_relation	published_value	published_units	standard_value	standard_units	standard_type	activity_comment	published_type	data_validity_comment	published_relation	pchembl_value	standard_inchi	canonical_smiles
4311	1515468	CHEMBL2320190	Inhibition of human ERG expressed in CHO cells by patch clamp assay	Homo sapiens		CHO	>	32	uM	32000	nM	IC50		IC50		>		InChI=1S/C26H29N3O5S/c1-33-23-10-9-22(24(29-23)26(31)27-15-17-11-13-34-14-12-17)28-25(30)21-8-7-18(16-35(2)32)19-5-3-4-6-20(19)21/h3-10,17H,11-16H2,1-2H3,(H,27,31)(H,28,30)	COc1ccc(NC(=O)c2ccc(C[S+](C)[O-])c3ccccc23)c(n1)C(=O)NCC4CCOCC4
5347	1760892	CHEMBL3294033	Inhibition of human ERG by patch clamp electrophysiological analysis	Homo sapiens			=	21	uM	21000	nM	IC50		IC50		=	4.68	InChI=1S/C24H28N6O4/c1-33-21-6-2-16-3-7-22(32)30(24(16)28-21)13-12-29-10-8-17(9-11-29)25-14-18-4-5-19-23(26-18)27-20(31)15-34-19/h2-7,17,25H,8-15H2,1H3,(H,26,27,31)	COc1ccc2C=CC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2n1
4267	1512830	CHEMBL2318190	Binding affinity to human ERG	Homo sapiens			>	50	uM	50000	nM	IC50		IC50		>		InChI=1S/C24H31F4N3O3/c1-33-21-13-34-5-3-20(21)30-18-8-15-7-17(25)9-23(15,10-18)22(32)31-4-2-19-14(12-31)6-16(11-29-19)24(26,27)28/h6,11,15,17-18,20-21,30H,2-5,7-10,12-13H2,1H3/t15-,17+,18-,20?,21?,23-/m1/s1	COC1COCCC1N[C@@H]2C[C@H]3C[C@H](F)C[C@]3(C2)C(=O)N4CCc5ncc(cc5C4)C(F)(F)F
2149	1056558	CHEMBL1648352	Displacement of radiolabeled MK-499 from human ERG expressed in HEK293 cells	Homo sapiens		HEK293	=	4.73	uM	4730	nM	IC50		IC50		=	5.33	InChI=1S/C22H20N4O2S/c1-13-11-26(12-23-13)16-8-6-14(10-17(16)28-2)7-9-19-24-21(27)20-15-4-3-5-18(15)29-22(20)25-19/h6-12H,3-5H2,1-2H3,(H,24,25,27)/b9-7+	COc1cc(\C=C\C2=Nc3sc4CCCc4c3C(=O)N2)ccc1n5cnc(C)c5
4789	1575908	CHEMBL2415177	Inhibition of human ERG channel by patch clamp analysis	Homo sapiens			>	30	uM	30000	nM	IC50		IC50		>		InChI=1S/C23H26N6O3/c1-14-27-19(32-28-14)12-15-2-4-16(5-3-15)17-6-8-18(9-7-17)29-10-11-31-22-20(23(29)30)21(24)25-13-26-22/h6-9,13,15-16H,2-5,10-12H2,1H3,(H2,24,25,26)/t15-,16-	Cc1noc(C[C@@H]2CC[C@H](CC2)c3ccc(cc3)N4CCOc5ncnc(N)c5C4=O)n1
3279	1331891	CHEMBL2014817	Binding affinity to human ERG	Homo sapiens			=	10	uM	10000	nM	IC50		IC50		=	5.00	InChI=1S/C22H23F4N7O/c1-31(21(34)10-15-2-6-18(7-3-15)33-14-28-29-30-33)20-8-9-32(13-19(20)23)12-17-5-4-16(11-27-17)22(24,25)26/h2-7,11,14,19-20H,8-10,12-13H2,1H3/t19-,20+/m0/s1	CN([C@@H]1CCN(Cc2ccc(cn2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4
5094	1621582	CHEMBL3129034	Inhibition of human ERG by patch clamp electrophysiology	Homo sapiens			=	20.2	uM	20200	nM	IC50		IC50		=	4.70	InChI=1S/C21H18F3N5O2/c22-21(23,24)17-6-5-15(11-26-17)18-19(25)27-12-16(28-18)13-1-3-14(4-2-13)20(30)29-7-9-31-10-8-29/h1-6,11-12H,7-10H2,(H2,25,27)	Nc1ncc(nc1c2ccc(nc2)C(F)(F)F)c3ccc(cc3)C(=O)N4CCOCC4
4861	1586963	CHEMBL2447591	Inhibition of human ERG expressed in HEK293 cells by patch-clamp technique	Homo sapiens		HEK293	=	131	nM	131	nM	IC50		IC50		=	6.88	InChI=1S/C33H34N2O5.CH4O3S/c1-38-32(36)27-8-3-2-7-26(27)25-13-11-23(12-14-25)21-34-18-15-24(16-19-34)22-40-33(37)30-28-9-4-5-10-29(28)35-17-6-20-39-31(30)35;1-5(2,3)4/h2-5,7-14,24H,6,15-22H2,1H3;1H3,(H,2,3,4)	COC(=O)c1ccccc1c2ccc(CN3CCC(COC(=O)c4c5OCCCn5c6ccccc46)CC3)cc2.CS(=O)(=O)O
6081	1948396	CHEMBL3583383	Inhibition of MK499 binding to human ERG	Homo sapiens			=	1.1	uM	1100	nM	IC50		IC50		=	5.96	InChI=1S/C27H25FN10O/c1-3-38-14-15(11-32-38)27(25-36-37-26(29-2)39-25)23-18(17-6-4-5-7-19(17)33-23)10-21(35-27)24-31-13-22(34-24)20-9-8-16(28)12-30-20/h4-9,11-14,21,33,35H,3,10H2,1-2H3,(H,29,37)(H,31,34)/t21-,27-/m1/s1	CCn1cc(cn1)[C@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cn6)c7oc(NC)nn7
1627	610144	CHEMBL1107673	Inhibition of human ERG by patch clamp electrophysiology assay	Homo sapiens			=	0.47	uM	470	nM	IC50		IC50		=	6.33	InChI=1S/C22H23F3N6S/c1-30-19(15-7-8-26-27-12-15)28-29-20(30)32-10-2-9-31-13-18-11-21(18,14-31)16-3-5-17(6-4-16)22(23,24)25/h3-8,12,18H,2,9-11,13-14H2,1H3/t18-,21+/m0/s1	Cn1c(SCCCN2C[C@@H]3C[C@@]3(C2)c4ccc(cc4)C(F)(F)F)nnc1c5ccnnc5
903	513770	CHEMBL984535	Displacement of [35S]MK-499 from human ERG expressed in HEK293 cells	Homo sapiens		HEK293	=	2.7	uM	2700	nM	IC50		IC50		=	5.57	InChI=1S/C26H25N3O3/c1-4-32-21-11-6-9-19(15-21)18-8-5-10-20(14-18)29-16-23(26(31)28-17(2)3)24(30)22-12-7-13-27-25(22)29/h5-17H,4H2,1-3H3,(H,28,31)	CCOc1cccc(c1)c2cccc(c2)N3C=C(C(=O)NC(C)C)C(=O)c4cccnc34
137	347877	CHEMBL853270	Inhibition of hERG potassium channel in HEK293 cells by patch clamp assay	Homo sapiens		HEK293	=	3800	nM	3800	nM	IC50		IC50		=	5.42	InChI=1S/C23H38N4O3S/c1-20(28)25-22-10-7-11-23(18-22)27-16-14-26(15-17-27)13-6-5-12-24-31(29,30)19-21-8-3-2-4-9-21/h7,10-11,18,21,24H,2-6,8-9,12-17,19H2,1H3,(H,25,28)	CC(=O)Nc1cccc(c1)N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2
2723	566192	CHEMBL1827362	Displacement of [3H]dofetilide from human recombinant ERG by Competitive binding assay	Homo sapiens			=	8111.111111	nM	8111.11	nM	IC50		IC50		=	5.09	InChI=1S/C25H29N3O2S/c1-20-3-2-17-28(20)18-14-21-4-6-23(7-5-21)24-8-10-25(11-9-24)31(29,30)27-19-22-12-15-26-16-13-22/h4-13,15-16,20,27H,2-3,14,17-19H2,1H3/t20-/m1/s1	C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)NCc4ccncc4
6593	436607	CHEMBL3736641	Inhibition of human ERG by patch clamp technique	Homo sapiens			=	0.8	uM	800	nM	IC50		IC50		=	6.10	InChI=1S/C26H25F4N3O3S/c1-2-36-17-25-14-18-15-31-33(22-7-5-21(27)6-8-22)24(18)13-20(25)11-12-32(16-25)37(34,35)23-9-3-19(4-10-23)26(28,29)30/h3-10,13,15H,2,11-12,14,16-17H2,1H3/t25-/m1/s1	CCOC[C@@]12CN(CCC1=Cc3c(C2)cnn3c4ccc(F)cc4)S(=O)(=O)c5ccc(cc5)C(F)(F)F
6786	2075966	CHEMBL3783629	Inhibition of human ERG by QPatch assay	Homo sapiens			=	44.9	uM	44900	nM	IC50		IC50		=	4.35	InChI=1S/C28H30N4O2S/c1-20-16-21(2)32(31-20)17-22-8-10-24(11-9-22)26(33)29-19-28(12-14-34-15-13-28)27-30-25(18-35-27)23-6-4-3-5-7-23/h3-11,16,18H,12-15,17,19H2,1-2H3,(H,29,33)	Cc1cc(C)n(Cc2ccc(cc2)C(=O)NCC3(CCOCC3)c4nc(cs4)c5ccccc5)n1
326	375242	CHEMBL914758	Inhibition of hERG expressed in HEK293 cells assessed as effect on ionic current by patch clamp assay	Homo sapiens		HEK293	=	5.3	uM	5300	nM	IC50		IC50		=	5.28	InChI=1S/C26H28N4O3S/c1-29-7-9-30(10-8-29)16-18-5-6-21-22(14-18)26(31)23-24(27-28-25(21)23)19-15-20(34-17-19)4-3-11-33-13-12-32-2/h5-6,14-15,17H,7-13,16H2,1-2H3,(H,27,28)	COCCOCC#Cc1cc(cs1)c2n[nH]c3c4ccc(CN5CCN(C)CC5)cc4C(=O)c23
3383	1339776	CHEMBL2026493	Displacement of [3H] dofetilide from human ERG channel expressed in HEK293 cells after 45 mins by scintillation counting method	Homo sapiens		HEK293	>	100	uM	100000	nM	IC50		IC50		>		InChI=1S/C20H22F3N3O4S/c21-20(22,23)15-3-5-16(6-4-15)24-19(27)25-31(28,29)18-9-7-17(8-10-18)30-14-13-26-11-1-2-12-26/h3-10H,1-2,11-14H2,(H2,24,25,27)	FC(F)(F)c1ccc(NC(=O)NS(=O)(=O)c2ccc(OCCN3CCCC3)cc2)cc1
4871	1586906	CHEMBL2444347	Inhibition of human ERG channel expressed in CHO cells by whole cell patch clamp technique	Homo sapiens		CHO						IC50	Not Determined	IC50				InChI=1S/C25H24N4O4S/c1-18-7-13-22(14-8-18)34(31,32)28-26-15-19-16-29(24-6-4-3-5-23(19)24)17-25(30)27-20-9-11-21(33-2)12-10-20/h3-16,28H,17H2,1-2H3,(H,27,30)/b26-15+	COc1ccc(NC(=O)Cn2cc(\C=N\NS(=O)(=O)c3ccc(C)cc3)c4ccccc24)cc1
3245	1282522	CHEMBL1958785	Inhibition of human Erg by patch clamp assay	Homo sapiens			=	13.6	uM	13600	nM	IC50		IC50		=	4.87	InChI=1S/C27H31N5O3/c1-17(2)31-14-6-7-19(15-31)16-32-18(3)28-21-11-13-24(30-26(21)27(32)33)35-22-9-5-8-20-10-12-23(34-4)29-25(20)22/h5,8-13,17,19H,6-7,14-16H2,1-4H3/t19-/m0/s1	COc1ccc2cccc(Oc3ccc4N=C(C)N(C[C@H]5CCCN(C5)C(C)C)C(=O)c4n3)c2n1
1628	610218	CHEMBL1107673	Inhibition of human ERG by patch clamp electrophysiology assay	Homo sapiens			=	0.35	uM	350	nM	IC50		IC50		=	6.46	InChI=1S/C23H26F3N5S2/c1-14-19(33-15(2)27-14)20-28-29-21(30(20)3)32-10-4-9-31-12-18-11-22(18,13-31)16-5-7-17(8-6-16)23(24,25)26/h5-8,18H,4,9-13H2,1-3H3/t18-,22+/m0/s1	Cc1nc(C)c(s1)c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C
300	375257	CHEMBL914755	Displacement of [3H]dofetilide from hERG expressed in HEK293 cells	Homo sapiens		HEK293	>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C23H16N2OS/c1-2-8-18(9-3-1)26-12-6-10-19-13-17(15-27-19)22-21-14-16-7-4-5-11-20(16)23(21)25-24-22/h1-5,7-9,11,13,15H,12,14H2,(H,24,25)	C(Oc1ccccc1)C#Cc2cc(cs2)c3n[nH]c4c3Cc5ccccc45
2471	1166753	CHEMBL1810388	Inhibition of human ERG by electrophysiology assay	Homo sapiens			=	5.9	uM	5900	nM	IC50		IC50		=	5.23	InChI=1S/C21H19ClN6O2/c1-29-18-8-13(30-14-9-23-10-14)5-6-16(18)26-21-25-11-15(22)20(27-21)17-12-24-19-4-2-3-7-28(17)19/h2-8,11-12,14,23H,9-10H2,1H3,(H,25,26,27)	COc1cc(OC2CNC2)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45
1333	560784	CHEMBL1062483	Displacement of [3H]dofetilide from human ERG	Homo sapiens			=	2350	nM	2350	nM	IC50		IC50		=	5.63	InChI=1S/C20H30N2O/c1-15(2)18-9-5-6-10-19(18)20(23)22(17-11-12-21-13-17)14-16-7-3-4-8-16/h5-6,9-10,15-17,21H,3-4,7-8,11-14H2,1-2H3/t17-/m0/s1	CC(C)c1ccccc1C(=O)N(CC2CCCC2)[C@H]3CCNC3
938	513846	CHEMBL981857	Antagonist activity at human ERG in HEK293 cells assessed as inhibition of [35S]N-[(4R)-1'-[(2R)-6-cyano-1,2,3,4-tetrahydro-2-naphthalenyl]-3,4-dihydro-4-hydroxyspiro[2H-1-benzopyran-2,4'-piperidin]-6-yl]methanesulfonamide binding	Homo sapiens		HEK293	>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C23H26N4O2/c1-16-25-21-6-3-13-24-22(21)23(28)27(16)18-7-9-19(10-8-18)29-20-11-14-26(15-12-20)17-4-2-5-17/h3,6-10,13,17,20H,2,4-5,11-12,14-15H2,1H3	CC1=Nc2cccnc2C(=O)N1c3ccc(OC4CCN(CC4)C5CCC5)cc3
5569	1781144	CHEMBL3378079	Inhibition of human ERG over-expressed in HEK293 cell membrane by [3H]dofetilide binding assay	Homo sapiens			=	20.7	uM	20700	nM	IC50		IC50		=	4.68	InChI=1S/C15H14ClFN2/c1-19(2)12-8-6-11(18-10-12)7-9-13-14(16)4-3-5-15(13)17/h3-10H,1-2H3/b9-7+	CN(C)c1ccc(\C=C\c2c(F)cccc2Cl)nc1
5814	1840286	CHEMBL3419515	Inhibition of human ERG expressed in CHO cells at -80 mV holding potential by whole cell patch clamp assay	Homo sapiens								IC50	Not Determined	IC50				InChI=1S/C17H23Cl2N5O/c1-2-5-23(7-6-22-8-10-25-11-9-22)17-13-24(21-20-17)14-3-4-15(18)16(19)12-14/h3-4,12-13H,2,5-11H2,1H3	CCCN(CCN1CCOCC1)c2cn(nn2)c3ccc(Cl)c(Cl)c3
141	348039	CHEMBL870149	Inhibition of hERG expressed in HEK cells by radioligand binding assay	Homo sapiens			=	19.3	uM	19300	nM	IC50		IC50		=	4.71	InChI=1S/C21H24F2N4O/c1-26(2)20(28)27-21(11-6-12-24,15-7-4-3-5-8-15)14-19(25-27)17-13-16(22)9-10-18(17)23/h3-5,7-10,13H,6,11-12,14,24H2,1-2H3/t21-/m0/s1	CN(C)C(=O)N1N=C(C[C@@]1(CCCN)c2ccccc2)c3cc(F)ccc3F
2570	1171465	CHEMBL1820401	Inhibition of human ERG by radioligand binding assay	Homo sapiens			=	31240	nM	31240	nM	IC50		IC50		=	4.51	InChI=1S/C25H26N4O3/c1-16-24(17(2)32-29-16)25-21(20-5-3-4-6-22(20)27-25)13-14-26-15-19-9-7-18(8-10-19)11-12-23(30)28-31/h3-12,26-27,31H,13-15H2,1-2H3,(H,28,30)/b12-11+	Cc1onc(C)c1c2[nH]c3ccccc3c2CCNCc4ccc(\C=C\C(=O)NO)cc4
4238	1443450	CHEMBL2216275	Inhibition of human ERG overexpressed in HEK cells	Homo sapiens			=	19	uM	19000	nM	IC50		IC50		=	4.72	InChI=1S/C20H23N9O/c1-22-16-6-18(24-9-15(16)13-8-25-29(3)11-13)26-19-10-23-17(7-21)20(27-19)30-14-4-5-28(2)12-14/h6,8-11,14H,4-5,12H2,1-3H3,(H2,22,24,26,27)/t14-/m0/s1	CNc1cc(Nc2cnc(C#N)c(O[C@H]3CCN(C)C3)n2)ncc1c4cnn(C)c4
2756	631885	CHEMBL1827362	Displacement of [3H]dofetilide from human recombinant ERG by Competitive binding assay	Homo sapiens			=	20800	nM	20800	nM	IC50		IC50		=	4.68	InChI=1S/C21H22N6/c1-15-3-2-10-26(15)11-8-16-4-6-18-17(13-16)5-7-19(24-18)20-9-12-27-21(25-20)22-14-23-27/h4-7,9,12-15H,2-3,8,10-11H2,1H3/t15-/m1/s1	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccn5ncnc5n4
14	364141	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	18	nM	18	nM	IC50		IC50		=	7.75	InChI=1S/C28H29F2N3O/c29-22-11-7-20(8-12-22)25(21-9-13-23(30)14-10-21)4-3-17-32-18-15-24(16-19-32)33-27-6-2-1-5-26(27)31-28(33)34/h1-2,5-14,24-25H,3-4,15-19H2,(H,31,34)	Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5
6767	2072900	CHEMBL3779605	Binding affinity to human ERG	Homo sapiens			=	101	nM	101	nM	IC50		IC50		=	7.00	InChI=1S/C26H28N4O/c1-16-6-8-17(9-7-16)23-15-27-26(30-23)22-14-20-19-4-2-3-5-21(19)28-25(20)24(29-22)18-10-12-31-13-11-18/h2-9,15,18,22,24,28-29H,10-14H2,1H3,(H,27,30)/t22-,24-/m1/s1	Cc1ccc(cc1)c2c[nH]c(n2)[C@H]3Cc4c([nH]c5ccccc45)[C@H](N3)C6CCOCC6
3489	1344053	CHEMBL2033832	Inhibition of human Erg expressed in HEK293 cells by whole cell patch clamp analysis	Homo sapiens		HEK293	=	0.04	uM	40	nM	IC50		IC50		=	7.40	InChI=1S/C33H42F2N2O3/c1-38-31-19-25(20-32(39-2)33(31)40-3)22-36-21-24-16-18-37(23-24)17-6-4-5-7-30(26-8-12-28(34)13-9-26)27-10-14-29(35)15-11-27/h8-15,19-20,24,30,36H,4-7,16-18,21-23H2,1-3H3	COc1cc(CNCC2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)C2)cc(OC)c1OC
16	81683	CHEMBL691014	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	Homo sapiens			=	21570	nM	21570	nM	IC50		IC50		=	4.67	InChI=1S/C32H39NO4/c1-31(2,30(35)36)25-17-15-24(16-18-25)29(34)14-9-21-33-22-19-28(20-23-33)32(37,26-10-5-3-6-11-26)27-12-7-4-8-13-27/h3-8,10-13,15-18,28-29,34,37H,9,14,19-23H2,1-2H3,(H,35,36)	CC(C)(C(=O)O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
4991	1608363	CHEMBL3096732	Displacement of [3H]astemizole from human ERG channel expressed in HEK293 cell membrane after 1 hr by scintillation counting analysis	Homo sapiens			=	5590	nM	5590	nM	IC50		IC50		=	5.25	InChI=1S/C18H27N/c1-4-6-15-19(5-2)16-9-7-8-10-18-13-11-17(3)12-14-18/h11-14H,4-6,8,10,15-16H2,1-3H3	CCCCN(CC)CC#CCCc1ccc(C)cc1
1218	562262	CHEMBL1063190	Inhibition of human ERG expressed in CHO cells by patch clamp assay	Homo sapiens		CHO	=	0.63	uM	630	nM	IC50		IC50		=	6.20	InChI=1S/C29H33F4N3O2/c30-26-6-2-23(3-7-26)20-36(13-1-17-37)28(38)18-22-10-14-34(15-11-22)19-24-12-16-35(21-24)27-8-4-25(5-9-27)29(31,32)33/h2-9,12,16,21-22,37H,1,10-11,13-15,17-20H2	OCCCN(Cc1ccc(F)cc1)C(=O)CC2CCN(Cc3ccn(c3)c4ccc(cc4)C(F)(F)F)CC2
1929	686452	CHEMBL1217370	Displacement of [3H] astemizole from human recombinant ERG channel expressed in HEK293 cells	Homo sapiens		HEK293	=	6.9	uM	6900	nM	IC50		IC50		=	5.16	InChI=1S/C23H32Cl2N4O.ClH/c1-16-17(15-20(27(16)5)23(2,3)4)22(30)26-9-10-28-11-13-29(14-12-28)19-8-6-7-18(24)21(19)25;/h6-8,15H,9-14H2,1-5H3,(H,26,30);1H	Cl.Cc1c(cc(n1C)C(C)(C)C)C(=O)NCCN2CCN(CC2)c3cccc(Cl)c3Cl
2843	1176331	CHEMBL1831617	Displacement of [3H]astemizole from human ERG expressed in HEK293 cells after 1 hr	Homo sapiens		HEK293	=	13.5	uM	13500	nM	IC50		IC50		=	4.87	InChI=1S/C26H28F3N3O5/c27-26(28,29)18-3-1-2-16(10-18)24(34)30-12-23(33)31-19-13-32(14-19)20-6-8-25(35,9-7-20)17-4-5-21-22(11-17)37-15-36-21/h1-5,10-11,19-20,35H,6-9,12-15H2,(H,30,34)(H,31,33)/t20-,25+	O[C@@]1(CC[C@@H](CC1)N2CC(C2)NC(=O)CNC(=O)c3cccc(c3)C(F)(F)F)c4ccc5OCOc5c4
5505	1819768	CHEMBL3381295	Inhibition of human ERG channel by patch clamp technique	Homo sapiens			=	0.4	uM	400	nM	IC50		IC50		=	6.40	InChI=1S/C22H19N3O3S2/c1-29(26)17-7-5-15(6-8-17)21-14-23-22-12-11-20(24-25(21)22)16-3-2-4-19(13-16)30(27,28)18-9-10-18/h2-8,11-14,18H,9-10H2,1H3	CS(=O)c1ccc(cc1)c2cnc3ccc(nn23)c4cccc(c4)S(=O)(=O)C5CC5
2249	1137328	CHEMBL1764797	Displacement of [3H]-dofetilide from human ERG expressed in human HEK293 cells after 90 mins by scintillation counting	Homo sapiens		HEK293	=	0.16	uM	160	nM	IC50		IC50		=	6.80	InChI=1S/C29H33ClN2O4/c1-34-25-10-8-21(9-11-25)26-19-32(14-13-20-7-12-27(35-2)28(15-20)36-3)18-23(26)17-31-29(33)22-5-4-6-24(30)16-22/h4-12,15-16,23,26H,13-14,17-19H2,1-3H3,(H,31,33)/t23-,26+/m0/s1	COc1ccc(cc1)[C@H]2CN(CCc3ccc(OC)c(OC)c3)C[C@@H]2CNC(=O)c4cccc(Cl)c4
1505	578288	CHEMBL1048091	Inhibition of human ERG in L929 cells by whole cell patch-clamp assay	Homo sapiens		L929	>	100	uM	100000	nM	IC50		IC50		>		InChI=1S/C29H41NO/c1-24-15-17-25(18-16-24)10-8-9-21-30-22-19-28(20-23-30)29(31,26-11-4-2-5-12-26)27-13-6-3-7-14-27/h2-7,11-14,24-25,28,31H,8-10,15-23H2,1H3	CC1CCC(CCCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4)CC1
3749	1359536	CHEMBL2072739	Inhibition of human ERG by patch clamp assay	Homo sapiens			=	4	uM	4000	nM	IC50		IC50		=	5.40	InChI=1S/C18H13ClFN3O2/c19-13-3-1-2-11(8-13)17-21-18(25-22-17)12-9-16(24)23(10-12)15-6-4-14(20)5-7-15/h1-8,12H,9-10H2	Fc1ccc(cc1)N2CC(CC2=O)c3onc(n3)c4cccc(Cl)c4
