	molregno	assay_chembl_id	description	assay_organism	assay_tissue	assay_cell_type	standard_relation	published_value	published_units	standard_value	standard_units	standard_type	activity_comment	published_type	data_validity_comment	published_relation	pchembl_value	standard_inchi	canonical_smiles
6173	1956227	CHEMBL3602657	Inhibition of human ERG overexpressed in CHO cells by Qpatch method	Homo sapiens			>	40	uM	40000	nM	IC50		IC50		>		InChI=1S/C24H28N4O3/c1-17-8-11-19(12-9-17)27-24-21-16-20(13-10-18(21)14-15-25-24)26-22(29)6-4-2-3-5-7-23(30)28-31/h8-16,31H,2-7H2,1H3,(H,25,27)(H,26,29)(H,28,30)	Cc1ccc(Nc2nccc3ccc(NC(=O)CCCCCCC(=O)NO)cc23)cc1
5831	1838782	CHEMBL3418525	Inhibition of ERG channel expressed in human embryonic kidney cells assessed as tail current amplitude measured for 3 to 30 mins by PatchXpress electrophysiology assay	Homo sapiens			=	14	uM	14000	nM	IC50		IC50		=	4.85	InChI=1S/C18H26N6O3S/c1-11-6-12(2)23-16(7-11)24-15-8-14(10-22-17(15)18(20)25)21-9-13(19)4-5-28(3,26)27/h6-8,10,13,21H,4-5,9,19H2,1-3H3,(H2,20,25)(H,23,24)/t13-/m0/s1	Cc1cc(C)nc(Nc2cc(NC[C@@H](N)CCS(=O)(=O)C)cnc2C(=O)N)c1
5652	1788800	CHEMBL3367333	Inhibition of human ERG expressed in HEK293 cells assessed as reduction in channel tail current by patch clamp method	Homo sapiens								IC50	Not Determined	IC50				InChI=1S/C27H32N2O5/c30-26(31)23-17-12-18-21(22(18)23)19(17)13-28-9-6-15(7-10-28)14-34-27(32)24-16-4-1-2-5-20(16)29-8-3-11-33-25(24)29/h1-2,4-5,15,17-19,21-23H,3,6-14H2,(H,30,31)	OC(=O)C1C2CC3C(C2CN4CCC(COC(=O)c5c6OCCCn6c7ccccc57)CC4)C13
3034	1267818	CHEMBL1932121	Inhibition of human ERG by whole cell patch clamp assay	Homo sapiens			=	2	uM	2000	nM	IC50		IC50		=	5.70	InChI=1S/C25H28N4O4/c1-16-5-6-17-3-2-4-20(23(17)28-16)29-24(30)25(31)9-7-18(8-10-25)26-14-19-13-21-22(15-27-19)33-12-11-32-21/h2-6,13,15,18,26,31H,7-12,14H2,1H3,(H,29,30)/t18-,25+	Cc1ccc2cccc(NC(=O)[C@@]3(O)CC[C@@H](CC3)NCc4cc5OCCOc5cn4)c2n1
1530	598718	CHEMBL1069754	Inhibition of human ERG	Homo sapiens			=	12000	nM	12000	nM	IC50		IC50		=	4.92	InChI=1S/C23H23Cl2FN4O2/c24-17-12-19-21(31)27-13-15(30(19)20(17)25)10-14-2-3-18(26)16(11-14)22(32)29-8-5-23(6-9-29)4-1-7-28-23/h2-3,11-13,28H,1,4-10H2,(H,27,31)	Fc1ccc(CC2=CNC(=O)c3cc(Cl)c(Cl)n23)cc1C(=O)N4CCC5(CCCN5)CC4
6309	72035	CHEMBL3611375	Inhibition of human ERG expressed in HEK cells by patch clamp assay	Homo sapiens			=	1.3	uM	1300	nM	IC50		IC50		=	5.89	InChI=1S/C29H38FN3O3/c1-20(2)28-23-12-11-22(30)18-21(23)13-14-29(28,36-27(34)19-35-4)15-17-33(3)16-7-10-26-31-24-8-5-6-9-25(24)32-26/h5-6,8-9,11-12,18,20,28H,7,10,13-17,19H2,1-4H3,(H,31,32)/t28-,29-/m0/s1	COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C
355	399204	CHEMBL899624	Displacement of [3H]dofetilide from human HERG expressed in HEK293 cells	Homo sapiens		HEK293	>	30	uM	30000	nM	IC50		IC50		>		InChI=1S/C21H25NO3/c23-19-9-7-17(8-10-19)21(25)14-12-18(13-15-21)22-20(24)11-6-16-4-2-1-3-5-16/h1-5,7-10,18,23,25H,6,11-15H2,(H,22,24)/t18-,21+	Oc1ccc(cc1)[C@@]2(O)CC[C@@H](CC2)NC(=O)CCc3ccccc3
4300	1511969	CHEMBL2319031	Inhibition of human ERG	Homo sapiens			>	33	uM	33000	nM	IC50		IC50		>		InChI=1S/C18H19N2O2P/c1-2-14-20(18-13-15-22-19-18)23(21,16-9-5-3-6-10-16)17-11-7-4-8-12-17/h3-13,15H,2,14H2,1H3	CCCN(c1ccon1)P(=O)(c2ccccc2)c3ccccc3
5225	1725028	CHEMBL3227234	Inhibition of human ERG	Homo sapiens			=	2.1	uM	2100	nM	IC50		IC50		=	5.68	InChI=1S/C28H30ClN3OS/c1-18(2)31-14-6-8-20(16-31)17-32-27(23-9-5-4-7-19(23)3)30-24-15-25(34-26(24)28(32)33)21-10-12-22(29)13-11-21/h4-5,7,9-13,15,18,20H,6,8,14,16-17H2,1-3H3	CC(C)N1CCCC(CN2C(=O)c3sc(cc3N=C2c4ccccc4C)c5ccc(Cl)cc5)C1
585	466989	CHEMBL981950	Displacement of [3H]astemizole from human ERG potassium channel expressed in HEK293 cell membrane	Homo sapiens			>	30	uM	30000	nM	IC50		IC50		>		InChI=1S/C20H21N3O2S/c21-19(24)15-9-11-23(12-10-15)13-14-5-7-16(8-6-14)25-20-22-17-3-1-2-4-18(17)26-20/h1-8,15H,9-13H2,(H2,21,24)	NC(=O)C1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1
3557	1345806	CHEMBL2037696	Displacement of [3H]astemizole from human Erg expressed in HEK293 cells after 75 mins	Homo sapiens		HEK293	=	33	uM	33000	nM	IC50		IC50		=	4.48	InChI=1S/C20H24N4S.ClH/c1-22-14-5-2-4-13(10-14)17-12-23-18-8-7-15(11-16(17)18)24-20(21)19-6-3-9-25-19;/h3,6-9,11-14,22-23H,2,4-5,10H2,1H3,(H2,21,24);1H	Cl.CNC1CCCC(C1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
2482	1166764	CHEMBL1810388	Inhibition of human ERG by electrophysiology assay	Homo sapiens			=	12	uM	12000	nM	IC50		IC50		=	4.92	InChI=1S/C26H29ClN8O2/c1-32(2)24(36)17-33-10-12-34(13-11-33)18-7-8-20(22(14-18)37-3)30-26-29-15-19(27)25(31-26)21-16-28-23-6-4-5-9-35(21)23/h4-9,14-16H,10-13,17H2,1-3H3,(H,29,30,31)	COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCN(CC(=O)N(C)C)CC5
5190	1724861	CHEMBL3223962	Inhibition of dofetilide binding to human ERG	Homo sapiens			=	4	uM	4000	nM	IC50		IC50		=	5.40	InChI=1S/C22H16N4O3/c1-13-11-25-21(12-24-13)26-22(27)16-8-19-18(7-14(2)28-19)20(9-16)29-17-5-3-15(10-23)4-6-17/h3-9,11-12H,1-2H3,(H,25,26,27)	Cc1oc2cc(cc(Oc3ccc(cc3)C#N)c2c1)C(=O)Nc4cnc(C)cn4
1337	566112	CHEMBL1062483	Displacement of [3H]dofetilide from human ERG	Homo sapiens			=	1080	nM	1080	nM	IC50		IC50		=	5.97	InChI=1S/C21H26N2O2/c1-16(2)15-23(17-12-13-22-14-17)21(24)19-10-6-7-11-20(19)25-18-8-4-3-5-9-18/h3-11,16-17,22H,12-15H2,1-2H3/t17-/m0/s1	CC(C)CN([C@H]1CCNC1)C(=O)c2ccccc2Oc3ccccc3
6177	1956153	CHEMBL3603073	Inhibition of human ERG channel by Rb efflux assay	Homo sapiens			>	100	uM	100000	nM	IC50		IC50		>		InChI=1S/C21H26N2O3/c1-15(24)13-22-14-19(25)23-12-11-16-9-6-10-18(26-2)20(16)21(23)17-7-4-3-5-8-17/h3-10,15,21-22,24H,11-14H2,1-2H3/t15-,21+/m1/s1	COc1cccc2CCN([C@@H](c3ccccc3)c12)C(=O)CNC[C@@H](C)O
119	343767	CHEMBL869626	Inhibitory activity against human hERG receptor expressed in HEK cells	Homo sapiens			=	7800	nM	7800	nM	IC50		IC50		=	5.11	InChI=1S/C21H21F2NO2/c1-21(2,3)20(26)24-12-14(17-11-15(22)7-8-18(17)23)10-19(24)13-5-4-6-16(25)9-13/h4-11,19,25H,12H2,1-3H3/t19-/m0/s1	CC(C)(C)C(=O)N1CC(=C[C@H]1c2cccc(O)c2)c3cc(F)ccc3F
6297	1960498	CHEMBL3611641	Binding affinity to human ERG expressed in HEK cells by MK-499 radioligand displacement assay	Homo sapiens			=	6.68	uM	6680	nM	IC50		IC50		=	5.18	InChI=1S/C26H25F3N6O2/c1-16-10-23(25(36)34(14-26(27,28)29)21-7-5-4-6-19(16)21)35-13-20(31-32-35)18-8-9-22(24(11-18)37-3)33-12-17(2)30-15-33/h4-9,11-13,15-16,23H,10,14H2,1-3H3/t16-,23-/m0/s1	COc1cc(ccc1n2cnc(C)c2)c3cn(nn3)[C@H]4C[C@H](C)c5ccccc5N(CC(F)(F)F)C4=O
6212	1766976	CHEMBL3607787	Inhibition of human ERG expressed in CHO cells measured for 5 mins by automated patch clamp assay	Homo sapiens			=	0.6	uM	600	nM	IC50		IC50		=	6.22	InChI=1S/C26H28FN5O4/c1-34-22-5-3-19-23(32-22)17(18(27)13-28-19)6-7-26-10-8-25(9-11-26,15-36-26)29-12-16-2-4-20-24(30-16)31-21(33)14-35-20/h2-5,13,29H,6-12,14-15H2,1H3,(H,30,31,33)	COc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1
69	10813	CHEMBL841078	Inhibitory concentration against hERG currents after prolonged depolarizing pulses	Homo sapiens			~	3	nM	3	nM	IC50		IC50		~		InChI=1S/C24H26ClFN4O/c25-18-1-6-23-21(15-18)22(16-30(23)20-4-2-19(26)3-5-20)17-7-10-28(11-8-17)13-14-29-12-9-27-24(29)31/h1-6,15-17H,7-14H2,(H,27,31)	Fc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25
333	381927	CHEMBL889312	Blockade of hERG expressed in HEK293 cells by whole-cell patch clamp method	Homo sapiens		HEK293	=	310	nM	310	nM	IC50		IC50		=	6.51	InChI=1S/C55H70N6O10S3/c1-54(2)45-33-38(13-21-47(45)60-29-24-49-43(52(54)60)36-44-50(71-49)25-30-61-48-22-20-42(74(67,68)69)35-46(48)55(3,4)53(44)61)34-51(62)56-26-9-7-8-10-27-59(28-23-37-11-14-39(15-12-37)57-72(5,63)64)31-32-70-41-18-16-40(17-19-41)58-73(6,65)66/h11-22,33,35,44,49-50,57-58H,7-10,23-32,34,36H2,1-6H3,(H-,56,62,67,68,69)	CC1(C)C2=C3CC4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CC(=O)NCCCCCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17
5118	1624317	CHEMBL3132256	Inhibition of human ERG expressed in CHOK1 cells by electrophysiological analysis	Homo sapiens			>	33	uM	33000	nM	IC50		IC50		>		InChI=1S/C24H36N4O3S/c29-23(26-14-6-13-25(17-18-26)21-7-4-8-21)27-16-12-24(19-27)11-5-15-28(20-24)32(30,31)22-9-2-1-3-10-22/h1-3,9-10,21H,4-8,11-20H2	O=C(N1CCCN(CC1)C2CCC2)N3CCC4(CCCN(C4)S(=O)(=O)c5ccccc5)C3
4048	1440841	CHEMBL2186062	Inhibition of human ERG expressed in CHO cells by IonWorks assay	Homo sapiens		CHO	>	33	uM	33000	nM	IC50		IC50		>		InChI=1S/C23H23N5O/c1-14-8-20(9-15(2)21(14)29-4)23(27-16(3)22(24)28-23)19-7-5-6-17(10-19)18-11-25-13-26-12-18/h5-13H,1-4H3,(H2,24,28)/t23-/m0/s1	COc1c(C)cc(cc1C)[C@]2(N=C(C)C(=N2)N)c3cccc(c3)c4cncnc4
6715	2069950	CHEMBL3767785	Inhibition of human ERG using tracer red fluorescent probe	Homo sapiens			=	3.1	uM	3100	nM	IC50		IC50		=	5.51	InChI=1S/C30H29F3N4O3.2ClH/c31-30(32,33)21-13-19(12-20(16-21)29(34)9-1-10-29)28(39)36-22-4-2-17-3-5-23(15-18(17)14-22)40-25-8-11-35-27-24(25)6-7-26(38)37-27;;/h3,5,8,11-13,15-16,22H,1-2,4,6-7,9-10,14,34H2,(H,36,39)(H,35,37,38);2*1H/t22-;;/m1../s1	Cl.Cl.NC1(CCC1)c2cc(cc(c2)C(F)(F)F)C(=O)N[C@@H]3CCc4ccc(Oc5ccnc6NC(=O)CCc56)cc4C3
